ticker,cik,quarter_end,year,quarter,shares,report_date,form_type,xbrl_field
MSFT,789019,2019-06-30,2019,2,7643000000,2019-06-30,10-K,CommonStockSharesOutstanding
MSFT,789019,2019-09-30,2019,3,7634000000,2019-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2019-12-31,2019,4,7611000000,2019-12-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2020-03-31,2020,1,7590000000,2020-03-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2020-06-30,2020,2,7571000000,2020-06-30,10-K,CommonStockSharesOutstanding
MSFT,789019,2020-09-30,2020,3,7564000000,2020-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2020-12-31,2020,4,7546000000,2020-12-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2021-03-31,2021,1,7534000000,2021-03-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2021-06-30,2021,2,7519000000,2021-06-30,10-K,CommonStockSharesOutstanding
MSFT,789019,2021-09-30,2021,3,7510000000,2021-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2021-12-31,2021,4,7500000000,2021-12-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2022-03-31,2022,1,7483000000,2022-03-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2022-06-30,2022,2,7464000000,2022-06-30,10-K,CommonStockSharesOutstanding
MSFT,789019,2022-09-30,2022,3,7457000000,2022-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2022-12-31,2022,4,7447000000,2022-12-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2023-03-31,2023,1,7437000000,2023-03-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2023-06-30,2023,2,7432000000,2023-06-30,10-K,CommonStockSharesOutstanding
MSFT,789019,2023-09-30,2023,3,7431000000,2023-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2023-12-31,2023,4,7432000000,2023-12-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2024-03-31,2024,1,7433000000,2024-03-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2024-06-30,2024,2,7434000000,2024-06-30,10-K,CommonStockSharesOutstanding
MSFT,789019,2024-09-30,2024,3,7436000000,2024-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2024-12-31,2024,4,7435000000,2024-12-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2025-03-31,2025,1,7434000000,2025-03-31,10-Q,CommonStockSharesOutstanding
MSFT,789019,2025-06-30,2025,2,7434000000,2025-06-30,10-K,CommonStockSharesOutstanding
MSFT,789019,2025-09-30,2025,3,7434000000,2025-09-30,10-Q,CommonStockSharesOutstanding
MSFT,789019,2025-12-31,2025,4,7429000000,2025-12-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2013-09-30,2013,3,335000000,2013-09-30,10-Q,WeightedAverageNumberOfSharesOutstandingBasic
AAL,6201,2013-12-31,2013,4,261069000,2013-12-31,10-K,CommonStockSharesOutstanding
AAL,6201,2014-03-31,2014,1,649953273,2014-03-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2014-06-30,2014,2,720501649,2014-06-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2014-09-30,2014,3,717257567,2014-09-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2014-12-31,2014,4,697474535,2014-12-31,10-K,CommonStockSharesOutstanding
AAL,6201,2015-03-31,2015,1,693800651,2015-03-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2015-06-30,2015,2,678288983,2015-06-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2015-09-30,2015,3,640107543,2015-09-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2015-12-31,2015,4,624622381,2015-12-31,10-K,CommonStockSharesOutstanding
AAL,6201,2016-03-31,2016,1,585658329,2016-03-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2016-06-30,2016,2,537141492,2016-06-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2016-09-30,2016,3,519161253,2016-09-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2016-12-31,2016,4,507294153,2016-12-31,10-K,CommonStockSharesOutstanding
AAL,6201,2017-03-31,2017,1,495749816,2017-03-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2017-06-30,2017,2,487661923,2017-06-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2017-09-30,2017,3,479999894,2017-09-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2017-12-31,2017,4,475507887,2017-12-31,10-K,CommonStockSharesOutstanding
AAL,6201,2018-03-31,2018,1,467390481,2018-03-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2018-06-30,2018,2,460502096,2018-06-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2018-09-30,2018,3,460559470,2018-09-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2018-12-31,2018,4,460610870,2018-12-31,10-K,CommonStockSharesOutstanding
AAL,6201,2019-03-31,2019,1,444216229,2019-03-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2019-06-30,2019,2,445262351,2019-06-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2019-09-30,2019,3,438035288,2019-09-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2019-12-31,2019,4,428202506,2019-12-31,10-K,CommonStockSharesOutstanding
AAL,6201,2020-03-31,2020,1,422886533,2020-03-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2020-06-30,2020,2,508556154,2020-06-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2020-09-30,2020,3,508603895,2020-09-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2020-12-31,2020,4,621479522,2020-12-31,10-K,CommonStockSharesOutstanding
AAL,6201,2021-03-31,2021,1,641374475,2021-03-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2021-06-30,2021,2,647446499,2021-06-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2021-09-30,2021,3,647477469,2021-09-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2021-12-31,2021,4,647727595,2021-12-31,10-K,CommonStockSharesOutstanding
AAL,6201,2022-03-31,2022,1,649497768,2022-03-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2022-06-30,2022,2,649779361,2022-06-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2022-09-30,2022,3,649863026,2022-09-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2022-12-31,2022,4,650642461,2022-12-31,10-K,CommonStockSharesOutstanding
AAL,6201,2023-03-31,2023,1,652817674,2023-03-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2023-06-30,2023,2,653286761,2023-06-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2023-09-30,2023,3,653504063,2023-09-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2023-12-31,2023,4,654273192,2023-12-31,10-K,CommonStockSharesOutstanding
AAL,6201,2024-03-31,2024,1,656045635,2024-03-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2024-06-30,2024,2,656607802,2024-06-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2024-09-30,2024,3,657102842,2024-09-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2024-12-31,2024,4,657566166,2024-12-31,10-K,CommonStockSharesOutstanding
AAL,6201,2025-03-31,2025,1,659481003,2025-03-31,10-Q,CommonStockSharesOutstanding
AAL,6201,2025-06-30,2025,2,659797256,2025-06-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2025-09-30,2025,3,660064930,2025-09-30,10-Q,CommonStockSharesOutstanding
AAL,6201,2025-12-31,2025,4,660301080,2025-12-31,10-K,CommonStockSharesOutstanding
DAL,27904,2013-09-30,2013,3,855545884,2013-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2013-12-31,2013,4,849000000,2013-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
DAL,27904,2014-03-31,2014,1,848014088,2014-03-31,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2014-06-30,2014,2,843005966,2014-06-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2014-09-30,2014,3,836941362,2014-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2014-12-31,2014,4,836000000,2014-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
DAL,27904,2015-03-31,2015,1,816296778,2015-03-31,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2015-06-30,2015,2,795398332,2015-06-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2015-09-30,2015,3,786473621,2015-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2015-12-31,2015,4,797000000,2015-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
DAL,27904,2016-03-31,2016,1,771581440,2016-03-31,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2016-06-30,2016,2,748907678,2016-06-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2016-09-30,2016,3,736384650,2016-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2016-12-31,2016,4,751000000,2016-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
DAL,27904,2017-03-31,2017,1,735530413,2017-03-31,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2017-06-30,2017,2,724030218,2017-06-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2017-09-30,2017,3,712973139,2017-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2017-12-31,2017,4,720000000,2017-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
DAL,27904,2018-03-31,2018,1,702478205,2018-03-31,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2018-06-30,2018,2,691331319,2018-06-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2018-09-30,2018,3,685618701,2018-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2018-12-31,2018,4,691000000,2018-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
DAL,27904,2019-03-31,2019,1,654996477,2019-03-31,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2019-06-30,2019,2,650200617,2019-06-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2019-09-30,2019,3,646742854,2019-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2019-12-31,2019,4,651000000,2019-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
DAL,27904,2020-03-31,2020,1,637836206,2020-03-31,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2020-06-30,2020,2,637856746,2020-06-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2020-09-30,2020,3,637734301,2020-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2020-12-31,2020,4,636000000,2020-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
DAL,27904,2021-03-31,2021,1,639661387,2021-03-31,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2021-06-30,2021,2,639914878,2021-06-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2021-09-30,2021,3,640013818,2021-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2021-12-31,2021,4,636000000,2021-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
DAL,27904,2022-03-31,2022,1,641076463,2022-03-31,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2022-06-30,2022,2,641197918,2022-06-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2022-09-30,2022,3,641188362,2022-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2022-12-31,2022,4,638000000,2022-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
DAL,27904,2023-03-31,2023,1,642716623,2023-03-31,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2023-06-30,2023,2,643418375,2023-06-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2023-09-30,2023,3,643463433,2023-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2023-12-31,2023,4,639000000,2023-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
DAL,27904,2024-03-31,2024,1,645312283,2024-03-31,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2024-06-30,2024,2,645419328,2024-06-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2024-09-30,2024,3,645281221,2024-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2024-12-31,2024,4,641000000,2024-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
DAL,27904,2025-03-31,2025,1,652955169,2025-03-31,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2025-06-30,2025,2,652948402,2025-06-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2025-09-30,2025,3,652962768,2025-09-30,10-Q,EntityCommonStockSharesOutstanding
DAL,27904,2025-12-31,2025,4,648000000,2025-12-31,10-K,WeightedAverageNumberOfSharesOutstandingBasic
JPM,19617,2013-09-30,2013,3,3759189280,2013-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2013-12-31,2013,4,3756100000,2013-12-31,10-K,CommonStockSharesOutstanding
JPM,19617,2014-03-31,2014,1,3784712771,2014-03-31,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2014-06-30,2014,2,3761280910,2014-06-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2014-09-30,2014,3,3738188746,2014-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2014-12-31,2014,4,3714800000,2014-12-31,10-K,CommonStockSharesOutstanding
JPM,19617,2015-03-31,2015,1,3711087151,2015-03-31,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2015-06-30,2015,2,3698067361,2015-06-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2015-09-30,2015,3,3681129777,2015-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2015-12-31,2015,4,3663500000,2015-12-31,10-K,CommonStockSharesOutstanding
JPM,19617,2016-03-31,2016,1,3656658925,2016-03-31,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2016-06-30,2016,2,3611982360,2016-06-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2016-09-30,2016,3,3578264278,2016-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2016-12-31,2016,4,3561200000,2016-12-31,10-K,CommonStockSharesOutstanding
JPM,19617,2017-03-31,2017,1,3552803801,2017-03-31,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2017-06-30,2017,2,3518964410,2017-06-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2017-09-30,2017,3,3469725577,2017-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2017-12-31,2017,4,3425300000,2017-12-31,10-K,CommonStockSharesOutstanding
JPM,19617,2018-03-31,2018,1,3404776922,2018-03-31,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2018-06-30,2018,2,3360884107,2018-06-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2018-09-30,2018,3,3325410725,2018-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2018-12-31,2018,4,3275800000,2018-12-31,10-K,CommonStockSharesOutstanding
JPM,19617,2019-03-31,2019,1,3243972971,2019-03-31,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2019-06-30,2019,2,3197484989,2019-06-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2019-09-30,2019,3,3136484924,2019-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2019-12-31,2019,4,3084000000,2019-12-31,10-K,CommonStockSharesOutstanding
JPM,19617,2020-03-31,2020,1,3047022877,2020-03-31,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2020-06-30,2020,2,3047604487,2020-06-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2020-09-30,2020,3,3048203063,2020-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2020-12-31,2020,4,3049400000,2020-12-31,10-K,CommonStockSharesOutstanding
JPM,19617,2021-03-31,2021,1,3027128112,2021-03-31,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2021-06-30,2021,2,2988155355,2021-06-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2021-09-30,2021,3,2955266061,2021-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2021-12-31,2021,4,2944100000,2021-12-31,10-K,CommonStockSharesOutstanding
JPM,19617,2022-03-31,2022,1,2937050466,2022-03-31,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2022-06-30,2022,2,2932572390,2022-06-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2022-09-30,2022,3,2933204888,2022-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2022-12-31,2022,4,2934200000,2022-12-31,10-K,CommonStockSharesOutstanding
JPM,19617,2023-03-31,2023,1,2922288509,2023-03-31,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2023-06-30,2023,2,2906085273,2023-06-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2023-09-30,2023,3,2891008341,2023-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2023-12-31,2023,4,2876600000,2023-12-31,10-K,CommonStockSharesOutstanding
JPM,19617,2024-03-31,2024,1,2871667879,2024-03-31,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2024-06-30,2024,2,2845164727,2024-06-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2024-09-30,2024,3,2815340422,2024-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2024-12-31,2024,4,2797600000,2024-12-31,10-K,CommonStockSharesOutstanding
JPM,19617,2025-03-31,2025,1,2779094488,2025-03-31,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2025-06-30,2025,2,2749753854,2025-06-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2025-09-30,2025,3,2722262295,2025-09-30,10-Q,EntityCommonStockSharesOutstanding
JPM,19617,2025-12-31,2025,4,2696200000,2025-12-31,10-K,CommonStockSharesOutstanding
BAC,70858,2013-09-30,2013,3,10683282112,2013-09-30,10-Q,CommonStockSharesOutstanding
BAC,70858,2013-12-31,2013,4,10591808296,2013-12-31,10-K,CommonStockSharesOutstanding
BAC,70858,2014-03-31,2014,1,10530045485,2014-03-31,10-Q,CommonStockSharesOutstanding
BAC,70858,2014-06-30,2014,2,10515824628,2014-06-30,10-Q,CommonStockSharesOutstanding
BAC,70858,2014-09-30,2014,3,10515893904,2014-09-30,10-Q,CommonStockSharesOutstanding
BAC,70858,2014-12-31,2014,4,10516542476,2014-12-31,10-K,CommonStockSharesOutstanding
BAC,70858,2015-03-31,2015,1,10520400507,2015-03-31,10-Q,CommonStockSharesOutstanding
BAC,70858,2015-06-30,2015,2,10471836636,2015-06-30,10-Q,CommonStockSharesOutstanding
BAC,70858,2015-09-30,2015,3,10427305035,2015-09-30,10-Q,CommonStockSharesOutstanding
BAC,70858,2015-12-31,2015,4,10380265063,2015-12-31,10-K,CommonStockSharesOutstanding
BAC,70858,2016-03-31,2016,1,10312660252,2016-03-31,10-Q,CommonStockSharesOutstanding
BAC,70858,2016-06-30,2016,2,10216780615,2016-06-30,10-Q,CommonStockSharesOutstanding
BAC,70858,2016-09-30,2016,3,10123845121,2016-09-30,10-Q,CommonStockSharesOutstanding
BAC,70858,2016-12-31,2016,4,10052625604,2016-12-31,10-K,CommonStockSharesOutstanding
BAC,70858,2017-03-31,2017,1,9974189863,2017-03-31,10-Q,CommonStockSharesOutstanding
BAC,70858,2017-06-30,2017,2,9878118264,2017-06-30,10-Q,CommonStockSharesOutstanding
BAC,70858,2017-09-30,2017,3,10457473674,2017-09-30,10-Q,CommonStockSharesOutstanding
BAC,70858,2017-12-31,2017,4,10287302431,2017-12-31,10-K,CommonStockSharesOutstanding
BAC,70858,2018-03-31,2018,1,10175910851,2018-03-31,10-Q,CommonStockSharesOutstanding
BAC,70858,2018-06-30,2018,2,10012719225,2018-06-30,10-Q,CommonStockSharesOutstanding
BAC,70858,2018-09-30,2018,3,9858252641,2018-09-30,10-Q,CommonStockSharesOutstanding
BAC,70858,2018-12-31,2018,4,9669286370,2018-12-31,10-K,CommonStockSharesOutstanding
